family	bosnian_form	hr_form	sr_form	rate_bs	rate_hr	rate_sr	share_vs_hr	share_vs_sr	assoc_hr	assoc_sr	n_aligned_hr	n_aligned_sr	mined_hr	mined_sr
imat	imat		imaće	52.37	76.91	0.39	0.4051	0.9926		0.563	0	135		bs->alt
inostranstva	inostranstva	inozemstva		24.83	0.00	25.42	1.0000	0.4941	0.656		64	0	bs->alt	
inostranstva	inostranstvo	inozemstvo		28.71	0.00	27.76	1.0000	0.5084	0.743		74	0	bs->alt	
inostranstva	inostranstvu	inozemstvu		105.13	0.00	108.71	1.0000	0.4916	0.908		271	0	bs->alt	
insistirati	insistiranje	ustrajavanje		8.92	0.00	12.12	1.0000	0.4240	0.696		23	0	bs->alt	
insistirati	insistirati	ustrajavati		13.19	0.00	10.95	1.0000	0.5464	0.647		34	0	bs->alt	
investiciona	investiciona	investicijska		19.01	0.00	19.94	1.0000	0.4880	0.837		49	0	bs->alt	
investiciona	investicionih	investicijskih		9.31	0.00	8.60	1.0000	0.5198	0.625		24	0	bs->alt	
irish	irish		ajriš	14.74	15.06	0.00	0.4946	1.0000		0.947	0	38		bs->alt
ischinger	ischinger		išinger	15.13	16.65	0.00	0.4761	1.0000		1.000	0	39		bs->alt
iskopavanja	iskopavanja	iskapanja		23.66	0.00	21.12	1.0000	0.5285	0.557		61	0	bs->alt	
italijanska	italijanska	talijanska		16.68	0.00	15.64	1.0000	0.5161	0.698		43	0	bs->alt	
italijanska	italijanske	talijanske		12.41	0.00	15.64	1.0000	0.4425	0.594		32	0	bs->alt	
italijanska	italijanski	talijanski		46.16	0.00	46.53	1.0000	0.4980	0.866		119	0	bs->alt	
italijanska	italijanskim	talijanskim		10.86	0.00	11.73	1.0000	0.4808	0.893		28	0	bs->alt	
italijanska	italijanskog	talijanskog		13.19	0.00	16.42	1.0000	0.4454	0.853		34	0	bs->alt	
izbjeći	izbjegao		izbegao	9.31	15.06	0.00	0.3820	1.0000		0.917	0	24		bs->alt
izbjeći	izbjegava		izbegava	8.92	7.93	0.00	0.5295	1.0000		0.652	0	23		bs->alt
izbjegavaju	izbjegavaju		izbegavaju	10.86	7.14	0.00	0.6035	1.0000		0.643	0	28		bs->alt
izbjegavaju	izbjegavanju		izbegavanju	8.92	12.29	0.00	0.4206	1.0000		0.652	0	23		bs->alt
izbjeći	izbjegla		izbegla	11.25	16.25	0.00	0.4090	1.0000		0.552	0	29		bs->alt
izbjeći	izbjegli		izbegli	10.09	11.89	0.00	0.4589	1.0000		0.654	0	26		bs->alt
izbjeći	izbjeglica		izbeglica	48.10	52.73	0.00	0.4771	1.0000		0.903	0	124		bs->alt
izbjeći	izbjeglice		izbeglice	32.59	33.30	0.00	0.4946	1.0000		0.857	0	84		bs->alt
izbjeći	izbjegne		izbegne	11.64	5.95	0.00	0.6618	1.0000		0.833	0	30		bs->alt
izbjeći	izbjeći		izbegne	30.26	39.64	0.00	0.4329	1.0000		0.423	0	78		bs->alt
izmijeni	izmijeni		promeni	19.01	4.76	0.00	0.7998	1.0000		0.449	0	49		bs->alt
izmjene	izmjene		izmene	84.57	59.07	0.00	0.5888	1.0000		0.447	0	159		alt->bs
izvijestio	izvijestio		informisao	25.22	123.29	0.00	0.1698	1.0000		0.415	0	41		alt->bs
izvještaj	izvještaj	izvješće	izveštaj	227.33	0.79	0.00	0.9965	1.0000	0.786	0.787	585	586	bs->alt	bs->alt
izvještaj	izvještaja	izvješća	izveštaja	103.58	0.00	0.00	1.0000	1.0000	0.798	0.738	267	267	bs->alt	bs->alt
izvještaj	izvještaje	izvješća	izveštaje	31.81	0.00	0.00	1.0000	1.0000	0.780	0.744	82	82	bs->alt	bs->alt
izvještaj	izvještajem	izvješćem	izveštajem	11.25	0.00	0.00	1.0000	1.0000	0.552	0.586	29	29	bs->alt	bs->alt
izvještaj	izvještaji	izvješća	izveštaji	25.99	0.00	0.00	1.0000	1.0000	0.537	0.403	67	67	bs->alt	bs->alt
izvještaj	izvještajima	izvješćima	izveštajima	180.00	0.00	0.00	1.0000	1.0000	0.429	0.787	464	235	bs->alt	alt->bs
izvještaj	izvještaju	izvješću	izveštaju	458.55	1.19	0.00	0.9974	1.0000	0.819	0.818	1180	1182	bs->alt	bs->alt
izvještaj	izvještava		izvestio	204.83	4.76	0.00	0.9773	1.0000		0.768	0	228		alt->bs
izvještaj	izvještavaju	izvješćuju	izvestili	98.54	0.40	0.00	0.9960	1.0000	0.535	0.520	43	254	alt->bs	bs->alt
izvještavanje	izvještavanje		izveštavanje	8.92	1.98	0.00	0.8182	1.0000		0.565	0	23		bs->alt
izvodljivosti	izvodljivosti	izvedivosti		17.46	0.00	17.60	1.0000	0.4980	0.889		45	0	bs->alt	
jacques	jacques		žak	9.31	8.72	0.00	0.5163	1.0000		0.917	0	24		bs->alt
james	james		džejms	17.85	20.61	0.39	0.4640	0.9786		0.933	0	45		bs->alt
januar	januar	siječnja		161.00	0.40	68.82	0.9975	0.7005	0.696		415	0	bs->alt	
januar	januara	siječnja		305.70	0.00	404.32	1.0000	0.4305	0.956		788	0	bs->alt	
januar	januaru	siječnju		84.57	0.00	81.72	1.0000	0.5086	0.904		218	0	bs->alt	
javier	javier		havijer	33.75	34.49	0.00	0.4946	1.0000		0.977	0	87		bs->alt
javier	javiera		havijera	8.53	8.72	0.00	0.4946	1.0000		0.909	0	22		bs->alt
jean	jean		žan	32.59	34.09	0.00	0.4887	1.0000		0.964	0	84		bs->alt
jevreja	jevreja	židova		12.41	0.00	10.56	1.0000	0.5404	0.781		32	0	bs->alt	
joachim	joachim		joakim	12.80	13.88	0.00	0.4799	1.0000		0.970	0	33		bs->alt
jones	jones		džons	13.19	14.67	0.39	0.4735	0.9712		0.788	0	33		bs->alt
jul	jul	srpnja		122.98	0.00	80.55	1.0000	0.6042	0.716		317	0	bs->alt	
jula	jula	srpnja		282.03	0.00	330.03	1.0000	0.4608	0.955		727	0	bs->alt	
juli	juli	srpanj		10.47	0.00	1.56	1.0000	0.8701	0.593		27	0	bs->alt	
julu	julu	srpnju		103.19	0.00	106.75	1.0000	0.4915	0.947		266	0	bs->alt	
jun	jun	lipnja		131.12	0.00	85.24	1.0000	0.6060	0.627		338	0	bs->alt	
juna	juna	lipnja		312.68	0.40	366.00	0.9987	0.4607	0.940		805	0	bs->alt	
junu	junu	lipnju		100.09	0.00	106.75	1.0000	0.4839	0.953		258	0	bs->alt	
kabashi	kabashi		kabaši	56.25	57.88	0.00	0.4929	1.0000		0.986	0	145		bs->alt
kaczynski	kaczynski		kazinski	9.70	10.31	0.00	0.4848	1.0000		0.800	0	25		bs->alt
kaide	kaide	qaede		29.10	0.00	28.94	1.0000	0.5014	0.853		75	0	bs->alt	
kathimerini	kathimerini		katimerini	24.83	24.18	0.39	0.5066	0.9845		0.952	0	63		bs->alt
kavanaugha	kavanaugha		kavanoa	11.64	10.31	0.00	0.5303	1.0000		0.800	0	30		bs->alt
kipar	kipar	cipar		175.35	5.15	172.83	0.9714	0.5036	0.902		449	0	bs->alt	
kipar	kiparska	ciparska		15.91	0.00	21.12	1.0000	0.4296	0.878		41	0	bs->alt	
kipar	kiparske	ciparske		13.97	0.00	21.51	1.0000	0.3937	0.778		36	0	bs->alt	
kipar	kiparski	ciparski		102.80	0.00	101.28	1.0000	0.5037	0.808		265	0	bs->alt	
kiparskih	kiparskih	ciparskih		151.30	0.00	151.33	1.0000	0.5000	0.897		390	0	bs->alt	
kiparskih	kiparskim	ciparskim		29.87	0.00	25.03	1.0000	0.5441	0.662		77	0	bs->alt	
kiparskih	kiparskog	ciparskog		25.60	0.00	25.42	1.0000	0.5018	0.545		66	0	bs->alt	
kipra	kipra	cipra		122.20	0.00	143.90	1.0000	0.4592	0.771		315	0	bs->alt	
kipru	kipru	cipru		112.11	0.40	107.14	0.9965	0.5113	0.760		288	0	bs->alt	
koalicioni	koalicioni	koalicijski		18.23	0.00	17.99	1.0000	0.5034	0.766		47	0	bs->alt	
kolegica	kolegica		koleginica	10.86	10.31	0.00	0.5131	1.0000		0.893	0	28		bs->alt
kolumnista	kolumnista	kolumnist		19.01	0.40	19.55	0.9796	0.4930	0.918		49	0	bs->alt	
kom	kom	kojemu		318.11	2.38	34.80	0.9926	0.9014	0.439		114	0	alt->bs	
komande	komandant	zapovjednik		80.69	0.00	82.51	1.0000	0.4944	0.913		208	0	bs->alt	
komande	komandanta	zapovjednika		39.18	0.00	40.28	1.0000	0.4931	0.861		101	0	bs->alt	
komande	komande	zapovjedništva		13.58	0.00	14.08	1.0000	0.4910	0.514		35	0	bs->alt	
komande	komandom	zapovjedništvom		10.86	0.00	11.73	1.0000	0.4808	0.893		28	0	bs->alt	
komentirati	komentirati		komentariše	9.31	17.84	0.00	0.3429	1.0000		0.542	0	24		bs->alt
kompjuter	kompjuter	računalo		8.15	0.00	5.87	1.0000	0.5814	0.810		21	0	bs->alt	
kompjuter	kompjutera	računala		21.72	0.00	16.42	1.0000	0.5695	0.821		56	0	bs->alt	
kompjuter	kompjutere	računala		15.13	0.00	11.73	1.0000	0.5633	0.795		39	0	bs->alt	
kompjuter	kompjuterske	računalne		8.53	0.00	8.99	1.0000	0.4869	0.409		22	0	bs->alt	
kompjuterskih	kompjuterskih	računalnih		12.03	0.00	8.21	1.0000	0.5942	0.484		31	0	bs->alt	
kompozitora	kompozitora	skladatelja		10.09	0.00	9.38	1.0000	0.5180	0.846		26	0	bs->alt	
konsultacija	konsultacija	konzultacija		16.29	0.00	16.03	1.0000	0.5040	0.786		42	0	bs->alt	
konsultacija	konsultacije	konzultacije		19.78	0.00	17.21	1.0000	0.5349	0.706		51	0	bs->alt	
kontrolira	kontrolira		kontroliše	25.99	4.36	0.00	0.8563	1.0000		0.716	0	67		bs->alt
kontrolira	kontroliraju		kontrolišu	13.97	3.57	0.00	0.7965	1.0000		0.639	0	36		bs->alt
konzorcij	konzorcij		konzorcijum	31.04	36.87	0.00	0.4570	1.0000		0.963	0	80		bs->alt
konzorcij	konzorcija		konzorcijuma	10.09	13.08	0.00	0.4353	1.0000		0.808	0	26		bs->alt
koordinatorica	koordinatorica		koordinatorka	12.80	13.08	0.00	0.4946	1.0000		0.697	0	33		bs->alt
korijena	korijena		korene	13.58	4.76	0.00	0.7405	1.0000		0.486	0	35		bs->alt
korijena	korijene		korene	12.80	28.94	0.00	0.3067	1.0000		0.667	0	33		bs->alt
korijena	korijenima		korene	13.19	4.36	0.00	0.7515	1.0000		0.529	0	34		bs->alt
korištenje	korištenje		korišćenje	23.66	81.27	0.39	0.2255	0.9837		0.508	0	61		bs->alt
kouchner	kouchner		kušner	15.91	16.25	0.00	0.4946	1.0000		0.976	0	41		bs->alt
krasniqi	krasniqi		krasnići	38.41	42.02	0.00	0.4775	1.0000		0.980	0	99		bs->alt
kriterija	kriterija		kriterijuma	50.82	51.54	0.00	0.4965	1.0000		0.748	0	131		bs->alt
kriterija	kriterije		kriterijume	41.51	45.99	0.00	0.4744	1.0000		0.869	0	107		bs->alt
kriterija	kriteriji		kriterijumi	11.64	8.72	0.00	0.5716	1.0000		0.700	0	30		bs->alt
kriterija	kriterijima		kriterijumima	15.13	18.24	0.00	0.4535	1.0000		0.718	0	39		bs->alt
kritizirala	kritizirala		kritikovala	22.11	30.53	0.00	0.4201	1.0000		0.842	0	57		bs->alt
ksf	ksf		kbs	38.79	6.74	0.39	0.8520	0.9900		0.889	0	99		bs->alt
kurs	kurs	tečaj		24.05	0.40	24.24	0.9838	0.4980	0.410		61	0	bs->alt	
kvadratnih	kvadratnih	četvornih		31.04	0.40	34.02	0.9874	0.4771	0.949		79	0	bs->alt	
kyprianou	kyprianou		kiprijanu	13.19	13.88	0.00	0.4873	1.0000		1.000	0	34		bs->alt
libanu	libanu	libanonu		10.86	0.00	10.56	1.0000	0.5071	0.964		28	0	bs->alt	
lica	lica	uhićene		360.40	9.51	98.54	0.9743	0.7853	0.538		26	0	alt->bs	
lideri	lideri	čelnici		307.25	0.79	310.47	0.9974	0.4974	0.818		790	0	bs->alt	
lijekova	lijekova		lekova	19.78	19.43	0.00	0.5046	1.0000		0.647	0	51		bs->alt
lijekova	lijekove		lekove	15.13	17.44	0.00	0.4645	1.0000		0.949	0	39		bs->alt
lijepo	lijepo		lepo	12.41	7.14	0.00	0.6350	1.0000		0.438	0	32		bs->alt
lijevo	lijevo		levo	133.06	135.98	0.00	0.4946	1.0000		0.991	0	343		bs->alt
liječenje	liječenje		lečenje	13.58	16.25	0.39	0.4552	0.9720		0.588	0	34		bs->alt
lične	lične	iskaznice		44.61	0.00	47.31	1.0000	0.4853	0.691		55	0	alt->bs	
ličnih	ličnih	iskaznica		27.93	0.00	35.19	1.0000	0.4425	0.459		37	0	alt->bs	
lično	lično	osobno		32.20	0.00	28.15	1.0000	0.5335	0.695		82	0	bs->alt	
ljekara	ljekara	liječnika		8.53	0.00	0.00	1.0000	1.0000	0.636		22	0	bs->alt	
ljepote	ljepote		lepote	8.15	5.95	0.00	0.5781	1.0000		0.571	0	21		bs->alt
ljetne	ljetne		letnje	15.91	19.43	0.00	0.4502	1.0000		0.634	0	41		bs->alt
ljetne	ljetni		letnji	16.29	16.65	0.00	0.4946	1.0000		0.738	0	42		bs->alt
ljeto	ljeto		leto	18.62	17.44	0.00	0.5163	1.0000		0.667	0	48		bs->alt
ljevice	ljevice		levice	8.53	12.29	0.00	0.4098	1.0000		0.727	0	22		bs->alt
maj	maj	svibnja		153.24	2.38	56.70	0.9847	0.7299	0.710		390	0	bs->alt	
maju	maju	svibnju		101.64	0.40	102.45	0.9961	0.4980	0.935		262	0	bs->alt	
marnhac	marnhac		marnak	15.52	16.25	0.00	0.4884	1.0000		0.950	0	40		bs->alt
mart	mart	ožujka		140.43	1.59	73.51	0.9888	0.6564	0.713		359	0	bs->alt	
marta	marta	ožujka		332.08	1.98	397.67	0.9941	0.4551	0.928		851	0	bs->alt	
marttija	marttija		martija	39.18	34.89	0.00	0.5290	1.0000		0.960	0	101		bs->alt
martu	martu	ožujku		96.60	0.40	103.23	0.9959	0.4834	0.944		249	0	bs->alt	
matthew	matthew		metju	19.40	20.61	0.00	0.4848	1.0000		1.000	0	50		bs->alt
michael	michael		majkl	30.65	30.13	0.00	0.5043	1.0000		0.620	0	79		bs->alt
microsofta	microsofta		majkrosofta	11.25	11.50	0.00	0.4946	1.0000		0.655	0	29		bs->alt
mijenja	mijenja		menja	24.05	31.32	0.00	0.4344	1.0000		0.742	0	62		bs->alt
mijenja	mijenjaju		menjaju	12.41	13.08	0.00	0.4869	1.0000		0.719	0	32		bs->alt
miješanja	miješanja		mešanja	13.19	1.59	0.00	0.8927	1.0000		0.524	0	21		alt->bs
miješanja	miješanje		mešanje	12.80	5.95	0.00	0.6828	1.0000		0.455	0	33		bs->alt
milion	milion	milijun		60.91	0.00	74.69	1.0000	0.4492	0.720		157	0	bs->alt	
milion	miliona	milijuna		489.97	0.79	1019.01	0.9984	0.3247	0.960		1263	0	bs->alt	
milion	milione	milijune		12.03	0.00	11.73	1.0000	0.5062	0.613		31	0	bs->alt	
miller	miller		miler	23.66	25.37	0.39	0.4826	0.9837		0.983	0	60		bs->alt
ministrica	ministrica		ministarka	122.98	128.05	0.00	0.4899	1.0000		0.861	0	317		bs->alt
ministrica	ministrice		ministarke	13.19	14.67	0.00	0.4735	1.0000		0.647	0	34		bs->alt
ministrica	ministricom		ministarkom	12.03	12.29	0.00	0.4946	1.0000		0.710	0	31		bs->alt
mircea	mircea		džoana	12.03	13.08	0.00	0.4790	1.0000		0.548	0	31		bs->alt
mjera	mjera		mera	205.22	197.42	0.00	0.5097	1.0000		0.724	0	529		bs->alt
mjera	mjerama		merama	64.79	52.73	0.00	0.5513	1.0000		0.557	0	167		bs->alt
mjere	mjere		mere	291.34	281.07	0.00	0.5090	1.0000		0.760	0	751		bs->alt
mjeru	mjeru		meru	19.40	16.65	0.00	0.5381	1.0000		0.400	0	50		bs->alt
mjesec	mjesec		mesec	82.24	79.29	0.00	0.5092	1.0000		0.802	0	212		bs->alt
mjesec	mjeseca		meseca	553.59	581.17	0.00	0.4878	1.0000		0.961	0	1427		bs->alt
mjesec	mjeseci		meseci	293.67	313.98	0.00	0.4833	1.0000		0.923	0	757		bs->alt
mjesec	mjesecima		mesecima	53.15	42.81	0.00	0.5538	1.0000		0.518	0	137		bs->alt
mjesec	mjesečne		mesečne	19.78	16.25	0.00	0.5490	1.0000		0.706	0	51		bs->alt
mjesec	mjesečno		mesečno	41.12	42.02	0.00	0.4946	1.0000		0.906	0	106		bs->alt
mjesta	mjesta		mesta	429.06	407.93	0.00	0.5126	1.0000		0.667	0	1106		bs->alt
mjesta	mjestima		mestima	50.04	59.07	0.00	0.4586	1.0000		0.628	0	129		bs->alt
mjesta	mjesto		mesto	340.22	374.63	0.00	0.4759	1.0000		0.522	0	876		bs->alt
mjesta	mjestu		mestu	202.50	212.09	0.00	0.4884	1.0000		0.475	0	522		bs->alt
mlijeka	mlijeka		mleka	20.56	21.41	0.00	0.4899	1.0000		0.868	0	53		bs->alt
mlijeka	mlijeko		mleko	10.09	9.91	0.00	0.5044	1.0000		0.962	0	26		bs->alt
mnijenje	mnijenje		mnjenje	11.25	6.74	0.00	0.6254	1.0000		0.931	0	29		bs->alt
moisiu	moisiu		mojsiju	11.25	11.89	0.00	0.4861	1.0000		0.966	0	29		bs->alt
moody	moody		mudis	19.40	19.82	0.39	0.4946	0.9802		0.612	0	49		bs->alt
moon	moon		mun	34.14	34.49	0.39	0.4974	0.9887		0.954	0	87		bs->alt
moona	moona		muna	12.03	12.69	0.00	0.4867	1.0000		0.871	0	31		bs->alt
moonom	moonom		munom	8.92	9.51	0.00	0.4840	1.0000		1.000	0	23		bs->alt
morat	morat		moraće	27.93	41.63	0.00	0.4016	1.0000		0.653	0	72		bs->alt
municije	municije	streljiva		27.16	0.00	30.11	1.0000	0.4742	0.886		70	0	bs->alt	
muzici	muzici	glazbi		8.15	0.00	8.21	1.0000	0.4980	0.714		21	0	bs->alt	
muzika	muzika	glazba		11.64	0.00	14.47	1.0000	0.4458	0.867		30	0	bs->alt	
muzika	muzike	glazbe		35.30	0.00	39.49	1.0000	0.4720	0.758		91	0	bs->alt	
muzika	muziku	glazbu		18.62	0.00	17.60	1.0000	0.5142	0.771		48	0	bs->alt	
muzičke	muzičara	glazbenika		12.41	0.00	12.51	1.0000	0.4980	0.781		32	0	bs->alt	
muzičke	muzičari	glazbenici		9.70	0.00	10.17	1.0000	0.4882	0.880		25	0	bs->alt	
muzičke	muzičke	glazbene		12.41	0.00	11.34	1.0000	0.5226	0.594		32	0	bs->alt	
muzičke	muzički	glazbeni		17.46	0.00	19.16	1.0000	0.4767	0.733		45	0	bs->alt	
muzičke	muzičkih	glazbenih		10.47	0.00	11.73	1.0000	0.4717	0.778		27	0	bs->alt	
muzičke	muzičkog	glazbenog		8.92	0.00	7.82	1.0000	0.5329	0.565		23	0	bs->alt	
nabucco	nabucco		nabuko	70.22	70.57	0.78	0.4988	0.9890		0.872	0	179		bs->alt
namjera	namjera		namera	28.71	9.91	0.00	0.7434	1.0000		0.514	0	74		bs->alt
namjera	namjerava		namerava	43.84	33.70	0.00	0.5654	1.0000		0.735	0	113		bs->alt
namjeravaju	namjeravaju		nameravaju	8.92	9.51	0.00	0.4840	1.0000		0.609	0	23		bs->alt
namjera	namjere		namere	15.13	6.74	0.00	0.6918	1.0000		0.538	0	39		bs->alt
namjera	namjerno		namerno	25.22	17.05	0.00	0.5967	1.0000		0.785	0	65		bs->alt
namjera	namjeru		nameru	31.42	5.55	0.00	0.8499	1.0000		0.519	0	81		bs->alt
namjera	namještaja		nameštaja	9.31	9.51	0.00	0.4946	1.0000		0.958	0	24		bs->alt
naprijed	naprijed		napred	108.24	108.23	0.00	0.5000	1.0000		0.624	0	279		bs->alt
naslijeđa	naslijeđa	nasljeđa	nasleđa	61.68	1.19	0.00	0.9811	1.0000	0.538	0.629	158	159	bs->alt	bs->alt
naslijeđa	naslijeđe		nasleđe	34.14	2.38	0.00	0.9349	1.0000		0.625	0	88		bs->alt
nasljednika	nasljednika		naslednika	13.58	12.29	0.00	0.5249	1.0000		0.600	0	35		bs->alt
nastavit	nastavit		nastaviće	22.50	47.57	0.00	0.3211	1.0000		0.586	0	58		bs->alt
natjecat	natjecanje		konkurs	41.90	59.86	0.00	0.4117	1.0000		0.560	0	25		alt->bs
natjecat	natjecat		takmičiće	12.41	11.89	0.00	0.5107	1.0000		0.594	0	32		bs->alt
nauka	nauka	znanost		166.04	0.00	162.67	1.0000	0.5051	0.549		428	0	bs->alt	
nauke	nauke	znanosti		113.28	0.40	108.31	0.9965	0.5112	0.924		291	0	bs->alt	
naučna	naučna	znanstvena		19.40	0.00	21.51	1.0000	0.4742	0.700		50	0	bs->alt	
naučna	naučne	znanstvene		16.68	0.00	19.55	1.0000	0.4604	0.698		43	0	bs->alt	
naučna	naučni	znanstveni		12.41	0.00	16.03	1.0000	0.4364	0.438		32	0	bs->alt	
naučna	naučnici	znanstvenici		53.15	0.00	57.87	1.0000	0.4787	0.912		137	0	bs->alt	
naučna	naučnih	znanstvenih		16.29	0.00	14.47	1.0000	0.5297	0.619		42	0	bs->alt	
naučna	naučnika	znanstvenika		32.97	0.00	33.63	1.0000	0.4951	0.871		85	0	bs->alt	
naučna	naučnim	znanstvenim		9.31	0.00	10.95	1.0000	0.4596	0.750		24	0	bs->alt	
naučna	naučnog	znanstvenog		9.70	0.00	10.95	1.0000	0.4697	0.760		25	0	bs->alt	
naznačio	naznačila		nagovestila	8.92	0.79	0.00	0.9184	1.0000		0.739	0	23		bs->alt
naznačio	naznačili		nagovestili	11.25	0.40	0.00	0.9660	1.0000		0.586	0	29		bs->alt
naznačio	naznačio		nagovestio	20.95	1.98	0.00	0.9136	1.0000		0.611	0	54		bs->alt
nedjelju	nedjeljnim		nedeljnim	10.09	15.06	0.00	0.4010	1.0000		0.577	0	26		bs->alt
nedjelju	nedjeljom		nedeljom	8.15	9.51	0.00	0.4613	1.0000		0.905	0	21		bs->alt
nedjelju	nedjelju		nedelju	467.86	474.53	0.00	0.4965	1.0000		0.939	0	1206		bs->alt
negdje	negdje		negde	20.95	13.08	0.00	0.6156	1.0000		0.514	0	37		alt->bs
neizvjesna	neizvjesna		neizvesna	9.31	8.33	0.00	0.5279	1.0000		0.667	0	24		bs->alt
neizvjesna	neizvjesnost		neizvesnost	13.58	12.29	0.00	0.5249	1.0000		0.714	0	35		bs->alt
neizvjesna	neizvjesnosti		neizvesnosti	20.56	18.63	0.00	0.5246	1.0000		0.717	0	53		bs->alt
nepovjerenja	nepovjerenja		poverenju	21.72	9.12	0.00	0.7044	1.0000		0.411	0	56		bs->alt
nepovjerenja	nepovjerenje		nepoverenje	13.19	12.29	0.00	0.5177	1.0000		0.794	0	34		bs->alt
neriješena	neriješena		nerešena	11.25	6.74	0.00	0.6254	1.0000		0.586	0	29		bs->alt
neriješena	neriješenih		nerešenih	13.58	9.91	0.00	0.5781	1.0000		0.514	0	35		bs->alt
neuspjeh	neuspjeh		neuspeh	17.07	45.99	0.00	0.2707	1.0000		0.636	0	44		bs->alt
nimetz	nimetz		nimic	36.47	39.64	0.00	0.4791	1.0000		0.989	0	94		bs->alt
nivo	nivo	razina		206.77	0.00	124.74	1.0000	0.6237	0.603		156	0	alt->bs	
nivoima	nivoima	razinama		20.17	0.00	25.03	1.0000	0.4463	0.788		52	0	bs->alt	
nivoom	nivoom	razinom		18.62	0.00	9.78	1.0000	0.6557	0.630		27	0	alt->bs	
nivou	nivou	razini		314.23	0.40	218.19	0.9987	0.5902	0.462		809	0	bs->alt	
njegu	njegu		negu	14.74	1.59	0.00	0.9029	1.0000		0.553	0	38		bs->alt
njemačka	njemačka		nemačka	145.48	158.18	0.00	0.4791	1.0000		0.885	0	375		bs->alt
njemačka	njemačke		nemačke	128.41	122.50	0.00	0.5118	1.0000		0.779	0	331		bs->alt
njemačka	njemački		nemački	82.63	86.42	0.00	0.4888	1.0000		0.854	0	213		bs->alt
njemačka	njemačkih		nemačkih	12.41	12.29	0.00	0.5025	1.0000		0.688	0	32		bs->alt
njemačka	njemačkim		nemačkim	10.47	12.69	0.00	0.4523	1.0000		0.815	0	27		bs->alt
njemačka	njemačkog		nemačkog	30.26	28.15	0.00	0.5181	1.0000		0.667	0	78		bs->alt
njemačka	njemačkoj		nemačkoj	71.38	67.79	0.00	0.5129	1.0000		0.815	0	184		bs->alt
njemačka	njemačkom		nemačkom	25.99	30.13	0.00	0.4631	1.0000		0.761	0	67		bs->alt
njemačka	njemačku		nemačku	27.93	31.71	0.00	0.4683	1.0000		0.764	0	72		bs->alt
njenoj	njenoj	njezinoj		46.94	1.19	46.92	0.9753	0.5001	0.436		101	0	alt->bs	
novembar	novembar	studenog		159.44	0.40	61.00	0.9975	0.7233	0.707		410	0	bs->alt	
novembar	novembra	studenog		257.20	0.00	360.13	1.0000	0.4166	0.937		663	0	bs->alt	
novembar	novembru	studenom		83.02	0.00	84.46	1.0000	0.4957	0.977		214	0	bs->alt	
nvo	nvo	udruga		32.20	0.00	4.69	1.0000	0.8728	0.566		83	0	bs->alt	
obaveze	obavezala	obvezala		12.80	0.00	6.65	1.0000	0.6582	0.485		33	0	bs->alt	
obaveze	obaveze	obveze		78.75	1.59	96.97	0.9803	0.4482	0.700		200	0	bs->alt	
obaveze	obavezu	obvezu		27.54	0.79	29.33	0.9720	0.4843	0.586		70	0	bs->alt	
obavještajne	obavještajne		obaveštajne	19.78	20.61	0.00	0.4897	1.0000		0.745	0	51		bs->alt
obavještajne	obavještajnih		obaveštajnih	17.85	15.46	0.00	0.5358	1.0000		0.717	0	46		bs->alt
obezbijedit	obezbijedit		obezbediće	9.31	0.00	0.00	1.0000	1.0000		0.625	0	24		bs->alt
obezbijedit	obezbijediti		obezbediti	82.63	0.00	0.00	1.0000	1.0000		0.438	0	80		alt->bs
obilježava	obilježava		obeležava	34.91	38.06	0.00	0.4785	1.0000		0.567	0	90		bs->alt
obilježava	obilježavanja		obeležavanja	28.32	25.37	0.00	0.5275	1.0000		0.522	0	46		alt->bs
obilježava	obilježena		obeležena	18.23	14.27	0.00	0.5609	1.0000		0.426	0	47		bs->alt
obilježava	obilježila		obeležila	12.80	11.89	0.00	0.5184	1.0000		0.500	0	26		alt->bs
obje	obje		obe	178.45	139.54	0.00	0.5612	1.0000		0.824	0	460		bs->alt
objekat	objekat	objekt		53.92	0.00	43.01	1.0000	0.5563	0.424		139	0	bs->alt	
ocjena	ocjena		ocena	36.85	30.53	0.00	0.5470	1.0000		0.474	0	95		bs->alt
ocjena	ocjenama		ocenama	10.47	11.50	0.00	0.4767	1.0000		0.704	0	27		bs->alt
ocjena	ocjene		ocene	55.09	45.99	0.00	0.5450	1.0000		0.570	0	142		bs->alt
ocjena	ocjeni		oceni	8.53	5.95	0.00	0.5894	1.0000		0.455	0	22		bs->alt
ocjena	ocjenom		ocenom	18.23	27.75	0.00	0.3965	1.0000		0.638	0	47		bs->alt
ocjena	ocjenu		ocenu	57.03	50.74	0.00	0.5292	1.0000		0.435	0	147		bs->alt
odbrana	odbrambene	obrambene		12.80	0.00	11.73	1.0000	0.5218	0.424		33	0	bs->alt	
odbrana	odbrana	obrana		12.80	0.00	12.90	1.0000	0.4980	0.636		33	0	bs->alt	
odbrana	odbrane	obrane		255.26	0.40	242.44	0.9984	0.5129	0.871		657	0	bs->alt	
odbrana	odbrani	obrani		18.23	0.00	18.77	1.0000	0.4928	0.553		47	0	bs->alt	
odbrana	odbranu	obranu		58.97	0.00	52.79	1.0000	0.5276	0.513		152	0	bs->alt	
odista	odista	doista		41.90	0.00	0.00	1.0000	1.0000	0.593		108	0	bs->alt	
