family	bosnian_form	hr_form	sr_form	rate_bs	rate_hr	rate_sr	share_vs_hr	share_vs_sr	assoc_hr	assoc_sr	n_aligned_hr	n_aligned_sr	mined_hr	mined_sr
direktan	direkcije	ravnateljstva		23.66	0.40	20.72	0.9835	0.5331	0.717		60	0	bs->alt	
direktan	direktan	izravan		10.47	0.00	17.99	1.0000	0.3680	0.444		27	0	bs->alt	
direktan	direktna	izravna		23.28	0.00	8.21	1.0000	0.7392	0.600		60	0	bs->alt	
direktan	direktni	izravni		15.52	0.00	12.12	1.0000	0.5614	0.475		40	0	bs->alt	
direktan	direktnih	izravnih		40.73	0.40	35.19	0.9904	0.5365	0.743		105	0	bs->alt	
direktan	direktnim	izravnim		13.19	0.00	14.08	1.0000	0.4837	0.441		34	0	bs->alt	
direktan	direktno	izravno		75.65	0.40	73.12	0.9948	0.5085	0.769		195	0	bs->alt	
direktan	direktnu	izravnu		18.62	0.00	12.12	1.0000	0.6057	0.438		48	0	bs->alt	
direktan	direktorica		direktorka	41.51	11.10	0.00	0.7890	1.0000		0.822	0	107		bs->alt
diyarbakiru	diyarbakiru		dijarbakiru	18.23	16.65	0.00	0.5227	1.0000		0.745	0	47		bs->alt
djeca	djeca		deca	96.21	100.30	0.00	0.4896	1.0000		0.891	0	248		bs->alt
djece	djece		dece	151.68	169.67	0.00	0.4720	1.0000		0.859	0	391		bs->alt
djeci	djeci		deci	27.93	30.13	0.00	0.4811	1.0000		0.764	0	72		bs->alt
djecom	djecom		decom	25.22	22.99	0.00	0.5231	1.0000		0.769	0	65		bs->alt
djecu	djecu		decu	73.71	79.29	0.00	0.4818	1.0000		0.742	0	190		bs->alt
djela	djela		dela	75.65	82.46	0.00	0.4785	1.0000		0.492	0	195		bs->alt
djelimično	djelimično	djelomice	delimično	38.41	0.00	0.00	1.0000	1.0000	0.414	0.768	99	99	bs->alt	bs->alt
djelo	djelo		delo	40.73	44.80	0.00	0.4762	1.0000		0.562	0	105		bs->alt
djeteta	djeteta		deteta	16.29	19.03	0.00	0.4613	1.0000		0.690	0	42		bs->alt
djevojka	djevojka		devojka	9.70	9.51	0.00	0.5048	1.0000		0.800	0	25		bs->alt
djevojka	djevojke		devojke	11.25	13.08	0.00	0.4624	1.0000		0.655	0	29		bs->alt
dječaka	dječaka		dečaka	20.17	22.20	0.00	0.4761	1.0000		0.865	0	52		bs->alt
dobrosusjedske	dobrosusjedske		dobrosusedske	8.92	6.74	0.00	0.5697	1.0000		0.565	0	23		bs->alt
dobrosusjedske	dobrosusjedskih		dobrosusedskih	13.19	12.29	0.00	0.5177	1.0000		0.706	0	34		bs->alt
dodijelio	dodijelila		dodelila	13.97	13.08	0.00	0.5163	1.0000		0.583	0	36		bs->alt
